soundlog_id,author,language_code,voice_type,creation_date,audio_size,session_type,expected_response,overall_score,phoneme_response,xml_path,audio_path
56ae35bf-922f-4f8b-8bb4-a45da4e78b9e,5f9e7ceb-2527-40ae-a4e6-d4d908549d64,de-DE,male,2022-09-12T07:24:14Z,58924,ListenForPhrasesGMMSession,Wie viel Uhr ist es?,10,,mrh/56//56ae35bf-922f-4f8b-8bb4-a45da4e78b9e.xml,mrh/56//56ae35bf-922f-4f8b-8bb4-a45da4e78b9e.wav
57c66d84-0e50-417f-99b5-819632805de7,333d55ce-b752-4885-8bc6-8276d2715dcd,de-DE,male,2022-09-13T17:39:18Z,33964,ListenForPhrasesGMMSession,vier,10,,mrh/57//57c66d84-0e50-417f-99b5-819632805de7.xml,mrh/57//57c66d84-0e50-417f-99b5-819632805de7.wav
5960c3cf-60f3-4947-a73c-7ce49a7bd016,ae44235a-583e-4485-93f3-7b76ad233637,de-DE,male,2022-09-11T17:46:39Z,71724,ListenForPhrasesGMMSession,Ja. Ich spiele Ball.,10,,mrh/59//5960c3cf-60f3-4947-a73c-7ce49a7bd016.xml,mrh/59//5960c3cf-60f3-4947-a73c-7ce49a7bd016.wav
5a137f75-e1a6-4fd9-9e02-212adc7920bd,1a04fee9-fb54-4eba-a14c-986bd9269a6b,de-DE,male,2022-09-14T18:02:56Z,322604,ListenForPhrasesGMMSession,Der Hund frisst!,10,,mrh/5a//5a137f75-e1a6-4fd9-9e02-212adc7920bd.xml,mrh/5a//5a137f75-e1a6-4fd9-9e02-212adc7920bd.wav
5b3845b2-bf3c-4008-893e-8e5f7cfb5291,fdfd96c7-a450-4ace-8e73-ab619cc33f3c,de-DE,male,2022-09-12T02:06:42Z,64044,ListenForPhrasesGMMSession,Die Frau ist zu Hause.,10,,mrh/5b//5b3845b2-bf3c-4008-893e-8e5f7cfb5291.xml,mrh/5b//5b3845b2-bf3c-4008-893e-8e5f7cfb5291.wav
5c4fc47c-53fc-44f0-895f-a33df909bb18,22e7df54-abfa-4892-b90c-78ebe6cd4b11,de-DE,male,2022-09-13T23:11:20Z,93484,ListenForPhrasesGMMSession,Warum riecht der Hund schlecht?,10,,mrh/5c//5c4fc47c-53fc-44f0-895f-a33df909bb18.xml,mrh/5c//5c4fc47c-53fc-44f0-895f-a33df909bb18.wav
5deabdce-ec2c-4e9e-8e74-cc439b949ad4,22e7df54-abfa-4892-b90c-78ebe6cd4b11,de-DE,male,2022-09-13T23:13:44Z,108204,ListenForPhrasesGMMSession,Der Junge schläft im Wohnzimmer.,10,,mrh/5d//5deabdce-ec2c-4e9e-8e74-cc439b949ad4.xml,mrh/5d//5deabdce-ec2c-4e9e-8e74-cc439b949ad4.wav
5eb29a73-0275-4280-bc4e-302654e83e13,8d7a92b5-cefb-4f5d-b759-895cb066ba64,de-DE,male,2022-09-13T13:25:13Z,48684,ListenForPhrasesGMMSession,Mathematik,10,,mrh/5e//5eb29a73-0275-4280-bc4e-302654e83e13.xml,mrh/5e//5eb29a73-0275-4280-bc4e-302654e83e13.wav
5f20e700-d926-4bc4-9d90-4a476432d20d,1113912a-3a89-41f0-8661-62a935872cf3,de-DE,male,2022-09-15T18:53:03Z,68524,ListenForPhrasesGMMSession,Was ist das?,10,,mrh/5f//5f20e700-d926-4bc4-9d90-4a476432d20d.xml,mrh/5f//5f20e700-d926-4bc4-9d90-4a476432d20d.wav
6066ef5d-ed3c-428f-a64e-92a5d7a0a532,8eac675b-7d28-4dd3-8181-1fbbe7e5e1f7,de-DE,male,2022-09-14T14:33:49Z,102444,ListenForPhrasesGMMSession,Er verlässt das Büro.,10,,mrh/60//6066ef5d-ed3c-428f-a64e-92a5d7a0a532.xml,mrh/60//6066ef5d-ed3c-428f-a64e-92a5d7a0a532.wav
62f50fb9-e84d-4771-92f5-2e9d5580ccbd,aea1f033-84ed-440b-83e1-72329ae26166,de-DE,male,2022-09-13T23:12:01Z,117164,ListenForPhrasesGMMSession,Wie viel kostet dieser Fotoapparat?,10,,mrh/62//62f50fb9-e84d-4771-92f5-2e9d5580ccbd.xml,mrh/62//62f50fb9-e84d-4771-92f5-2e9d5580ccbd.wav
64b2ba47-74e9-4b3f-8b12-0d5b8f364efa,af53400c-5bdf-4266-8738-7f19fb16d857,de-DE,male,2022-09-15T07:16:11Z,39724,ListenForPhrasesGMMSession,lie,10,,mrh/64//64b2ba47-74e9-4b3f-8b12-0d5b8f364efa.xml,mrh/64//64b2ba47-74e9-4b3f-8b12-0d5b8f364efa.wav
660144eb-55c4-41d3-8d3b-9a3f08e5a410,531419b6-79b6-4b07-95f5-2532562b446c,de-DE,male,2022-09-12T21:12:50Z,147244,ListenForPhrasesGMMSession,Ich werde Tennis spielen.,10,,mrh/66//660144eb-55c4-41d3-8d3b-9a3f08e5a410.xml,mrh/66//660144eb-55c4-41d3-8d3b-9a3f08e5a410.wav
6611d3e5-67d0-43c9-a485-d98360392f71,0c74ab0c-ee9d-463f-b015-d52dadd3a58b,de-DE,male,2022-09-12T00:13:29Z,156204,ListenForPhrasesGMMSession,und jetzt kann ich ihn nicht mehr anschalten.,10,,mrh/66//6611d3e5-67d0-43c9-a485-d98360392f71.xml,mrh/66//6611d3e5-67d0-43c9-a485-d98360392f71.wav
6e42f341-0bb8-4356-9bbf-aaf38b31a190,1f389295-0449-471f-89c1-9707f66f8ca5,de-DE,male,2022-09-12T22:49:57Z,64044,ListenForPhrasesGMMSession,Das ist unsere Mutter.,10,,mrh/6e//6e42f341-0bb8-4356-9bbf-aaf38b31a190.xml,mrh/6e//6e42f341-0bb8-4356-9bbf-aaf38b31a190.wav
720dd8a0-f2b4-4563-b66d-538f5ce5b087,5ebce6bb-6bdc-4a9a-930c-60b9b44dc6fc,de-DE,male,2022-09-14T17:07:52Z,111404,ListenForPhrasesGMMSession,Du hast sechs belegte Brote gegessen!,10,,mrh/72//720dd8a0-f2b4-4563-b66d-538f5ce5b087.xml,mrh/72//720dd8a0-f2b4-4563-b66d-538f5ce5b087.wav
757bfd9b-eb8e-4403-9496-ec8b7173d784,28d676c3-037a-4a9f-9494-53a8e2b35b72,de-DE,male,2022-09-14T18:16:39Z,43564,ListenForPhrasesGMMSession,Er liest Deutsch.,10,,mrh/75//757bfd9b-eb8e-4403-9496-ec8b7173d784.xml,mrh/75//757bfd9b-eb8e-4403-9496-ec8b7173d784.wav
779df041-0709-4cca-964e-f59520bedfb8,aa32f419-d3d6-4761-aa64-743de2d80521,de-DE,male,2022-09-12T16:08:12Z,70444,ListenForPhrasesGMMSession,Wo ist die Toilette?,10,,mrh/77//779df041-0709-4cca-964e-f59520bedfb8.xml,mrh/77//779df041-0709-4cca-964e-f59520bedfb8.wav
77a537cc-915a-447c-a3bf-03a3fd4da538,318778e9-e967-4f75-abf7-96e84e0056d7,de-DE,male,2022-09-11T23:21:10Z,87724,ListenForPhrasesGMMSession,Dieser Student mag Musik.,10,,mrh/77//77a537cc-915a-447c-a3bf-03a3fd4da538.xml,mrh/77//77a537cc-915a-447c-a3bf-03a3fd4da538.wav
7bf1126b-0431-4217-a17c-d5e0ca9237ec,2d528950-2500-4997-a56a-dec569c4c17a,de-DE,male,2022-09-13T15:54:50Z,87084,ListenForPhrasesGMMSession,eine Frau und ihr Auto,10,,mrh/7b//7bf1126b-0431-4217-a17c-d5e0ca9237ec.xml,mrh/7b//7bf1126b-0431-4217-a17c-d5e0ca9237ec.wav
8053ad6f-7fa1-4e51-9d3a-049930131c94,e54d0287-a08f-464e-bada-ef92c276a432,de-DE,male,2022-09-12T23:10:03Z,94764,ListenForPhrasesGMMSession,Ich spreche Chinesisch.,10,,mrh/80//8053ad6f-7fa1-4e51-9d3a-049930131c94.xml,mrh/80//8053ad6f-7fa1-4e51-9d3a-049930131c94.wav
842e4158-b80d-4a86-87a8-a7bd0cf23a80,aea1f033-84ed-440b-83e1-72329ae26166,de-DE,male,2022-09-13T21:06:06Z,71724,ListenForPhrasesGMMSession,Dann können wir Skifahren.,10,,mrh/84//842e4158-b80d-4a86-87a8-a7bd0cf23a80.xml,mrh/84//842e4158-b80d-4a86-87a8-a7bd0cf23a80.wav
85033629-5aba-4d6a-a248-c3c5160c3753,0beef190-3890-44ca-b945-df1bb27e56ef,de-DE,male,2022-09-14T18:26:55Z,112044,ListenForPhrasesGMMSession,Guten Tag. Ich brauche bitte einen Stadtplan.,10,,mrh/85//85033629-5aba-4d6a-a248-c3c5160c3753.xml,mrh/85//85033629-5aba-4d6a-a248-c3c5160c3753.wav
88d932be-ce11-4654-9e82-de6e2a766e74,d498de15-6a99-45e9-be2b-f048dfe5e283,de-DE,male,2022-09-15T16:32:22Z,111404,ListenForPhrasesGMMSession,Ich habe noch Tomaten auf meinem Pritschenwagen.,10,,mrh/88//88d932be-ce11-4654-9e82-de6e2a766e74.xml,mrh/88//88d932be-ce11-4654-9e82-de6e2a766e74.wav
8908f520-9517-4cee-919b-2a711d424cfb,163c5034-7c3e-4eb3-8896-96d099e3b39b,de-DE,male,2022-09-13T06:13:47Z,62764,ListenForPhrasesGMMSession,Er schwimmt schlecht.,10,,mrh/89//8908f520-9517-4cee-919b-2a711d424cfb.xml,mrh/89//8908f520-9517-4cee-919b-2a711d424cfb.wav
893504a2-6f70-4253-9667-e11096f71566,d17c546d-0e3d-4d08-b6fe-f1963f183d1c,de-DE,male,2022-09-15T12:16:29Z,69164,ListenForPhrasesGMMSession,Das Mädchen trinkt.,10,,mrh/89//893504a2-6f70-4253-9667-e11096f71566.xml,mrh/89//893504a2-6f70-4253-9667-e11096f71566.wav
899d6793-7602-4c5e-9b5f-47b62d2112fc,9281ee1d-81b3-42ce-a20d-59a9afc9db5b,de-DE,male,2022-09-15T23:30:31Z,152364,ListenForPhrasesGMMSession,Die Kellnerin hat die Limetten in Viertel geschnitten.,10,,mrh/89//899d6793-7602-4c5e-9b5f-47b62d2112fc.xml,mrh/89//899d6793-7602-4c5e-9b5f-47b62d2112fc.wav
8b1cae5f-e524-496e-8c46-c27443b6a838,274d87e4-fa49-499d-8698-297b0117494e,de-DE,male,2022-09-14T22:17:03Z,46124,ListenForPhrasesGMMSession,Was ist das?,10,,mrh/8b//8b1cae5f-e524-496e-8c46-c27443b6a838.xml,mrh/8b//8b1cae5f-e524-496e-8c46-c27443b6a838.wav
8cd982ae-bda5-4212-8768-ab00bd11e392,cfee5751-d998-467a-8f22-989978d8da48,de-DE,male,2022-09-11T16:01:58Z,64044,ListenForPhrasesGMMSession,Jetzt spiele ich hier.,10,,mrh/8c//8cd982ae-bda5-4212-8768-ab00bd11e392.xml,mrh/8c//8cd982ae-bda5-4212-8768-ab00bd11e392.wav
8fc5d980-df26-42bd-8ca3-8a47018f0956,07cac1d0-0676-4beb-be50-b675124199c1,de-DE,male,2022-09-11T16:16:46Z,102444,ListenForPhrasesGMMSession,Ich möchte zum Stadion fahren,10,,mrh/8f//8fc5d980-df26-42bd-8ca3-8a47018f0956.xml,mrh/8f//8fc5d980-df26-42bd-8ca3-8a47018f0956.wav
